Time/S,Force/N
8.93,-2.291973
8.94,-2.293746
8.95,-2.292808
8.96,-2.292482
8.97,-2.294524
8.98,-2.295494
8.99,-2.292347
9,-2.286609
9.01,-2.281745
9.02,-2.279846
9.03,-2.280235
9.04,-2.27898
9.05,-2.272987
9.06,-2.264388
9.07,-2.25745
9.08,-2.253167
9.09,-2.249622
9.1,-2.246054
9.11,-2.243749
9.12,-2.242398
9.13,-2.239307
9.14,-2.233259
9.15,-2.226361
9.16,-2.221004
9.17,-2.216832
9.18,-2.212445
9.19,-2.208161
9.2,-2.204974
9.21,-2.202924
9.22,-2.201184
9.23,-2.199475
9.24,-2.198879
9.25,-2.199984
9.26,-2.200937
9.27,-2.199078
9.28,-2.194039
9.29,-2.188555
9.3,-2.185726
9.31,-2.18517
9.32,-2.183867
9.33,-2.180664
9.34,-2.177389
9.35,-2.17665
9.36,-2.179209
9.37,-2.182484
9.38,-2.182913
9.39,-2.180537
9.4,-2.178756
9.41,-2.179623
9.42,-2.181021
9.43,-2.179933
9.44,-2.177382
9.45,-2.177151
9.46,-2.179933
9.47,-2.18207
9.48,-2.181053
9.49,-2.179146
9.5,-2.179487
9.51,-2.18091
9.52,-2.180004
9.53,-2.176436
9.54,-2.17313
9.55,-2.172001
9.56,-2.172017
9.57,-2.171381
9.58,-2.17011
9.59,-2.169363
9.6,-2.169847
9.61,-2.171032
9.62,-2.171262
9.63,-2.16972
9.64,-2.167861
9.65,-2.16732
9.66,-2.168147
9.67,-2.169911
9.68,-2.172271
9.69,-2.174266
9.7,-2.175013
9.71,-2.175037
9.72,-2.175657
9.73,-2.177437
9.74,-2.179646
9.75,-2.180799
9.76,-2.18025
9.77,-2.178741
9.78,-2.177882
9.79,-2.179631
9.8,-2.184343
9.81,-2.189167
9.82,-2.191091
9.83,-2.190495
9.84,-2.190089
9.85,-2.192004
9.86,-2.19535
9.87,-2.196407
9.88,-2.19384
9.89,-2.190558
9.9,-2.189557
9.91,-2.191472
9.92,-2.194722
9.93,-2.196852
9.94,-2.197607
9.95,-2.199117
9.96,-2.202082
9.97,-2.203687
9.98,-2.201931
9.99,-2.199451
10,-2.199697
10.01,-2.201684
10.02,-2.20166
10.03,-2.198029
10.04,-2.193125
10.05,-2.190399
10.06,-2.190542
10.07,-2.191178
10.08,-2.1897
10.09,-2.186012
10.1,-2.18269
10.11,-2.182174
10.12,-2.184256
10.13,-2.186878
10.14,-2.188325
10.15,-2.18838
10.16,-2.188047
10.17,-2.188404
10.18,-2.189732
10.19,-2.191154
10.2,-2.191893
10.21,-2.191861
10.22,-2.19113
10.23,-2.189787
10.24,-2.188468
10.25,-2.188635
10.26,-2.191027
10.27,-2.193705
10.28,-2.194619
10.29,-2.194079
10.3,-2.193379
10.31,-2.193912
10.32,-2.196352
10.33,-2.198919
10.34,-2.199157
10.35,-2.197655
10.36,-2.196948
10.37,-2.197385
10.38,-2.197703
10.39,-2.198052
10.4,-2.199697
10.41,-2.202193
10.42,-2.203552
10.43,-2.203679
10.44,-2.203767
10.45,-2.203949
10.46,-2.204132
10.47,-2.2053
10.48,-2.207947
10.49,-2.21053
10.5,-2.212
10.51,-2.214686
10.52,-2.220162
